time_sec,time_nsec,disparity,focal_length_px,x_px,y_px,sensor_y,sensor_x
1745835325.0,0.0,323.55611605114404,1153.9887789999998,493,750,-1.4386240661645335,7.06182844047624
1745835327.0,0.0,304.0624148607254,1153.9887789999998,493,750,-1.5943252299251258,7.514568295021231
1745835331.0,0.0,312.06080132146036,1153.9887789999998,493,750,-1.5280867538280403,7.32196345309733
1745835332.0,500000000.0,310.5632149025246,1153.9887789999998,492,749,-1.5466048919985254,7.357271153755775
1745835336.0,500000000.0,319.6050528249433,1153.9887789999998,489,750,-1.4934281034701724,7.149129096126971
1745835338.0,0.0,309.716454188029,1153.9887789999998,486,749,-1.5918976014463266,7.377385836378061
1745835340.0,0.0,289.59066214212555,1153.9887789999998,484,749,-1.7850071920555706,7.8900948170028204
1745835342.0,0.0,296.66657099516493,1153.9887789999998,482,749,-1.7321677436980087,7.7019051211443665
1745835344.0,0.0,300.73380872938367,1153.9887789999998,481,750,-1.7019360135029415,7.597741644259467
1745835346.0,0.0,292.51522579708615,1153.9887789999998,480,749,-1.7843382177291682,7.811209745386048
1745835348.0,0.0,247.78683378889758,1153.9887789999998,479,750,-2.2931291225489803,9.22122353105582
1745835350.0,0.0,272.2784875657823,1153.9887789999998,602,751,-1.1033573389958955,8.391767571677764
1745835352.0,0.0,273.14090628034614,1153.9887789999998,468,750,-2.068114515220956,8.36527129361879
1745835354.0,0.0,237.39617691665399,1153.9887789999998,559,723,-1.7695902288962893,9.624829734398759
1745835356.0,0.0,180.0105137788048,1153.9887789999998,647,638,-1.6813782439809557,12.693135164469671
1745835359.0,500000000.0,123.2658389998071,1153.9887789999998,744,586,-1.3530349603752356,18.536342274225508
1745835361.0,500000000.0,105.59093690529848,1153.9887789999998,766,556,-1.3327009569627795,21.639146780838395
1745835363.0,0.0,89.52540879022507,1153.9887789999998,777,537,-1.506231776167368,25.522338443312183
1745835365.0,0.0,77.07025051116943,1153.9887789999998,781,538,-1.806879065097805,29.646948949372625
1745835367.0,0.0,69.84045965021306,1153.9887789999998,787,530,-1.926306267407446,32.71596140494515
1745835369.0,0.0,62.65314016034526,1153.9887789999998,788,529,-2.229250777859524,36.46900660641059
1745835371.0,0.0,57.769023616139485,1153.9887789999998,779,527,-2.8098940687514906,39.552300513205246
1745835373.0,0.0,52.298362938133444,1153.9887789999998,772,523,-3.4723991476101546,43.68966166537428
1745835375.0,0.0,50.987599819521364,1153.9887789999998,760,519,-4.05311187635243,44.812813125304096
1745835377.0,0.0,48.96731827106882,1153.9887789999998,747,514,-4.786836065038584,46.66168912439662
1745835379.0,0.0,47.17726755666209,1153.9887789999998,731,513,-5.677536855938862,48.432177206442304
1745835380.0,0.0,44.961046942349135,1153.9887789999998,710,508,-6.930993713807094,50.81949682688189
1745835382.0,0.0,41.09983077139225,1153.9887789999998,698,513,-8.253253878820395,55.59384891702315
1745835384.0,0.0,39.50809020996094,1153.9887789999998,686,510,-9.227050939474715,57.83366825065925
1745835386.0,0.0,40.205721130371096,1153.9887789999998,674,510,-9.640730109543199,56.830165413797424
1745835388.0,0.0,41.27640380859375,1153.9887789999998,665,510,-9.796699642274433,55.35602842281245
1745835390.0,0.0,35.57640584309896,1153.9887789999998,665,510,-11.524928353362577,64.22508761837783
1745835392.0,0.0,32.158721923828125,1153.9887789999998,670,508,-12.547110437027946,71.05064025342985
1745835394.0,0.0,30.981356713079638,1153.9887789999998,682,514,-12.294639985529585,73.75073350016872
1745835396.0,0.0,37.46764394399282,1153.9887789999998,698,514,-9.149313023375784,60.983225575525864
1745835398.0,500000000.0,59.30876405777469,1153.9887789999998,735,511,-4.1801662489177565,38.52546615529204
1745835400.0,500000000.0,69.87997436523438,1153.9887789999998,767,509,-2.491343151687879,32.69746165729487
1745835401.0,0.0,22.310609072730657,1153.9887789999998,767,509,-9.914057769264565,102.41306165024139
1745835403.0,0.0,22.302077819253796,1153.9887789999998,804,506,-6.633333196773042,102.45223790078452
