time,sensor_x,sensor_y
1745835885.584169149398804,528.494970087567708,-29.065770477805682
1745835885.684172868728638,528.491401711126741,-29.088777101371207
1745835886.834125518798828,528.460849316757731,-29.404652584320814
1745835897.184446096420288,527.933067649277746,-31.559557852790306
1745835897.484446048736572,527.917518237918671,-31.620759652439403
1745835897.584445953369141,527.912335104573799,-31.641160237080044
1745835898.284414052963257,527.876907581141154,-31.788273493071657
1745835911.695949077606201,527.207458451864113,-34.659752489237832
1745835931.284158229827881,525.613539194523241,-39.510002826165469
1745835931.784162282943726,525.575684128112471,-39.660586094071832
1745835933.687370061874390,525.422266173803905,-40.161293207099902
1745835935.584124803543091,525.208506877360946,-40.619158175200582
1745835935.684120416641235,525.196788424526630,-40.639055456641742
1745835944.684137105941772,524.171741177171953,-42.792690854166509
1745835945.484228610992432,524.077978691732483,-42.951894270923546
1745835945.784260988235474,524.047326127615406,-43.089529712317798
1745835951.884567975997925,523.345634221000410,-44.751932680403584
1745835953.284473419189453,523.181689630996630,-45.098107922838793
1745835955.184537410736084,522.957764860357429,-45.611418861512185
1745835967.884318113327026,521.413377513973842,-49.015381891552224
1745835968.884423255920410,521.289726019534555,-49.270588183287671
1745835969.384390592575073,521.231134946702809,-49.370072415339365
1745835991.784034729003906,518.418475767943733,-54.886914552631417
1745835991.884046554565430,518.406755392658852,-54.906815046751952
1745835992.683963298797607,518.301214216996527,-55.115062294520179
1745835996.283966302871704,517.842335478061159,-55.978237231823023
1745836003.684392929077148,516.862960283471807,-57.845113646759657
1745836005.384451150894165,516.639532272415408,-58.260675539190629
1745836015.384497404098511,515.222429696136032,-60.929248552703008
1745836016.384395360946655,515.077661484684086,-61.195439599078242
1745836028.584358692169189,513.326195372424536,-64.316333651278981
1745836048.884146928787231,510.581428233024781,-69.001134041349232
1745836052.384107112884521,510.114704544646372,-69.787527502732985
1745836054.584207773208618,509.835713743018630,-70.258385818638999
1745836054.784242630004883,509.812271627967277,-70.298189011160943
1745836055.184277772903442,509.765391448623973,-70.377788516315093
1745836055.714129924774170,509.692665259114449,-70.499725288372190
1745836058.787001848220825,509.209266778328868,-71.176420572720744
1745836064.184525012969971,507.612923198633780,-71.989117861365756
1745836090.284180402755737,499.544573619549794,-76.335724413133391
1745836100.084075689315796,496.719255400501879,-77.692664879126383
1745836110.584408044815063,493.795993202763327,-79.022789789253494
1745836110.984465837478638,493.681691495889027,-79.076958970031768
1745836111.884414434432983,493.434106807997239,-79.187260490596358
1745836114.284540414810181,492.776874508314279,-79.477489753846740
1745836125.744517087936401,489.603300214000058,-80.903666248133092
1745836137.184254407882690,484.925022064364896,-81.148037575920753
1745836147.584157943725586,480.603892888491146,-81.457051266329799
1745836162.764400482177734,474.302768150184818,-81.898254747222865
1745836171.584518909454346,471.318450113511290,-82.197502679718298
1745836173.884495973587036,470.541937178281785,-82.272774908252302
1745836174.784482717514038,470.235997830641850,-82.304938063897723
1745836176.884444952011108,469.525240978576448,-82.375754317691687
1745836182.784423112869263,467.524190114366775,-82.579097379873573
1745836194.684193849563599,463.464747677713888,-83.013400915179332
1745836206.384107589721680,459.421509583853776,-83.492396335181283
1745836209.584018230438232,458.314459493544859,-83.622356231849139
1745836220.584466457366943,454.513040732792774,-84.056815312323081
1745836232.684374809265137,450.472040224956743,-84.378889128606573
1745836232.884363651275635,450.406165019164007,-84.383247627543696
1745836233.484328746795654,450.204307239572870,-84.400744475518053
1745836236.084530115127563,449.339341482463226,-84.466246782174352
1745836244.384273767471313,446.572735082265922,-84.681018067731699
1745836252.684141397476196,443.858401302366588,-84.841640163802680
1745836264.724691867828369,439.962377056099285,-85.030585455927977
1745836270.183998584747314,429.974704609821231,-82.807191828863580
1745836279.484537839889526,412.982036032754422,-78.992788214901140
1745836290.384536504745483,393.290905737319747,-74.248918790324097
1745836290.984556913375854,392.188080078797213,-74.009987946196389
1745836293.384436368942261,387.907296826243567,-72.888186560231588
1745836293.884416103363037,386.988344072179814,-72.689091149029224
1745836305.884280681610107,365.413704481680213,-67.219302782845276
1745836328.284452438354492,324.908533013680824,-57.037140025211436
1745836340.484462022781372,302.527499765799632,-52.079350563542775
1745836340.737211465835571,302.062951880680771,-51.978694099187464
1745836353.719507932662964,264.729994560446073,-46.434697731278511
1745836354.084340810775757,263.715105912709305,-46.275481951851340
1745836355.484353065490723,259.813630326801899,-45.681377730296965
1745836356.284307718276978,257.585402588301008,-45.339358577937844
1745836356.713752031326294,256.387903269544552,-45.158944603921931
1745836357.284250736236572,254.752124974390767,-44.898132446225226
1745836357.705821275711060,253.541569288500511,-44.709803316016711
1745836359.725772380828857,248.045774903969601,-43.883176322945559
1745836375.784140825271606,203.813853454906052,-38.935614618042607
1745836376.584005594253540,201.618240578437451,-38.666949509467557
1745836376.683983564376831,201.342054969268588,-38.638232452246228
1745836377.284122943878174,199.689799084054698,-38.450091394371192
1745836388.656359195709229,168.383023929553218,-34.858369827007387
1745836389.666524887084961,165.777258244202528,-34.661237959660511
1745836397.484393119812012,148.390758806262625,-33.428763957894553
1745836412.741952180862427,114.278157089915524,-31.605398482178320
1745836413.584179162979126,112.887913233698200,-31.475755724136171
1745836414.284172058105469,111.492033981199370,-31.455664048505223
1745836415.984274625778198,109.553895069823596,-31.824779551272183
1745836418.384160757064819,105.630014484333699,-30.398149620171349
1745836427.684056282043457,91.751609232480490,-27.325491414561217
1745836453.684337615966797,52.882946242768412,-15.476113297207016
1745836465.684329271316528,37.172764533750573,-7.093535094219258
1745836478.714010000228882,18.853841254245395,2.336851520935088
1745836481.784077882766724,17.710037578982455,3.090951703477161
1745836482.184096097946167,16.885334542361544,3.343989657472483
1745836482.384073019027710,17.478573151923957,2.921899305983745
1745836482.584015846252441,17.574447644355509,2.928591973024701
1745836495.714045524597168,11.936818448615913,4.862340004987524
1745836509.728345155715942,11.648516227015222,5.448631506955895
1745836536.816949129104614,12.318965634299150,4.608517879929367
1745836550.712516307830811,13.021335505645988,0.138949269490450
1745836556.723925352096558,13.003615492819312,-1.270935477402346
1745836600.284459352493286,25.336680444238326,-2.755591378349062
1745836602.484561920166016,24.959785719153786,-4.757146815200159
1745836603.584518909454346,24.813153424710269,-3.159506287205679
1745836603.747472763061523,25.036245420835687,-3.572236406882457
1745836603.884495496749878,25.658947133071301,-2.676895113869302
1745836606.668892860412598,25.799072288286549,-3.519701450066476
1745836608.658986330032349,26.352906939619022,-3.541469098091618
1745836609.685325145721436,26.620028658781838,-3.518937614164420
1745836626.884196996688843,66.102982351396733,-4.785601818032013
1745836640.584207534790039,104.772935973945593,-5.962235752955150
1745836650.883914709091187,134.597258524954043,-9.074637966354025
1745836651.383895158767700,135.835544575094957,-9.601715565543472
1745836652.684025526046753,139.728102087909491,-9.688553005743927
